Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
1963-07,1.1287,-0.3632,0.7223,-0.0413,-1.2447,-1.8076,0.1928999999999999,-1.0149,-1.9749,-1.188,-2.3527,-1.3247,-0.7382999999999998,-2.1329,-1.7526,-0.9115,-1.7733,-1.9168,-1.5745,-1.8574,0.1391,0.4839,1.136,-0.4284999999999999,-1.1045
1963-08,4.2396,1.373,1.4917,2.5068,4.6644,5.5703,4.522,4.445,4.4662,8.2451,5.0879,5.3055,5.3831,4.8413,5.1562,5.5754,4.7469,6.2516,7.694099999999999,5.3456,5.7823,4.2633,4.6341,8.1704,6.3984
1963-09,-1.7343,0.6204,-1.0007,-1.5215,-0.3584,-4.0525,-1.5072,-0.8638,-1.4935,-2.9243,-4.3315,-1.799,-0.3302999999999999,-0.9741,-1.8327,-2.6644,-2.1463,-1.7882,-3.9641,-2.0002,-1.3752,-0.8081,-0.8497,-0.1912,-3.5033
1963-10,0.3778,-0.7329,1.3066,0.1904,2.3711,1.1926,4.2411,2.3526,2.3058,3.9314,2.3951,0.4229999999999999,2.7461,2.5239,1.0696,-0.2414999999999999,0.699,2.5214,4.8524,0.6138,5.3261,1.742,-0.3353999999999999,2.4176,0.4702
1963-11,-3.3319,-3.8436,-1.7893,-1.0535,-1.1077,-4.2596,-1.7484,-0.7844999999999999,-0.0553999999999999,-0.115,-2.9957,-1.3781,-1.0492,-0.8065999999999999,-1.2163,-0.9083,-0.6310999999999999,-0.7516,1.3596,3.5407,-1.2669,1.008,-1.6914,-2.1316,1.3496
1963-12,-2.3435,-0.9565,-0.9366,-1.6555,-0.9997,-0.8692999999999999,-0.7581999999999999,1.0284,0.8357999999999999,0.113,0.2945999999999999,1.6992,1.3412,1.5966,0.4637999999999999,-0.1562,1.2207,1.7398,3.2888,6.1681,2.6568,2.3223,2.1885,2.5147,2.1354
1964-01,3.8925,2.8728,4.222,4.0493,4.9503,-2.029,-0.4914999999999999,3.6368,1.5616,4.1813,0.0992999999999999,0.5506999999999999,2.7314,3.8647,3.2166,-0.4314,1.8531,1.2448,3.6021,3.3329,3.0631,3.1961,1.6725,2.0134,1.6236
1964-02,2.8826,2.819,2.3024,0.3336,4.4744,1.6198,1.7294,2.6131,2.1453,6.1043,0.1236,3.026,1.6322,3.7531,4.014,2.5943,1.5619,2.8444,7.2047,4.6121,1.8271,0.5232,1.0194,3.9989,3.7567
1964-03,0.4753,1.4861,2.0712,3.7018,2.5228,2.3518,3.2064,3.3567,5.6606,6.1622,-0.8109,2.9838,4.3441,5.5647,6.7719,1.775,2.9767,5.2497,7.1287,0.7247,1.1575,0.7634999999999998,3.6237,3.8382,0.1491
1964-04,-1.5767,2.6118,-0.4566,-0.9186,-0.753,-0.9122,-3.8847,0.757,-1.6687,-0.6574999999999999,-2.0805,-1.2453,0.2873999999999999,-0.7633999999999999,-1.0248,-2.7045,0.3433999999999999,1.9784,-2.6384,-2.2805,0.2272,1.4745,0.8082,-0.9054,2.4147
1964-05,-1.239,-1.2253,0.4249999999999999,0.4818,1.358,3.1443,0.4096,2.9789,1.8462,3.7408,-0.4707,1.6949,-0.254,1.9709,2.4943,1.1914,2.2992,1.3559,1.3281,4.099,2.0599,0.3304,1.1776,4.2859,3.3968
1964-06,1.9444,0.4278,1.2084,0.8024999999999999,1.1335,0.8851,1.6658,1.8667,1.1354,2.2155,0.8904999999999998,2.1595,2.2361,2.5761,1.2487,1.0927,1.4771,1.1035,2.4965,3.1119,0.9744,2.8644,0.4436999999999999,1.3682,2.4217
1964-07,1.1367,3.6022,4.1156,2.5984,4.731,0.8709,2.0631,3.9801,2.8795,2.4535,2.8097,2.6283,3.0991,3.1914,1.2372,1.5586,3.3062,1.6201,1.7744,3.5825,2.5598,0.6934,3.8954,1.8783,0.9931
1964-08,1.6973,-2.5518,-1.7484,-0.8049,-0.4830999999999999,-1.8159,-2.2378,-1.2322,0.3431,-1.866,-2.7851,-0.4249999999999999,0.1867,-0.1132,-2.2609,-1.0822,0.1082999999999999,0.9632,-0.0138999999999999,-1.1736,-1.2739,-1.5604,-0.0792,-0.8963999999999999,-2.903
1964-09,5.4362,2.9791,6.2309,2.768,3.9217,3.3507,2.7652,2.2302,2.1863,4.7087,1.7622,2.0533,3.431,3.0761,3.7501,3.13,3.3262,4.1421,4.6636,4.2656,3.0865,1.347,4.283,4.5121,6.8538
1964-10,1.8991,0.0904999999999999,5.1491,1.9336,3.3329,-1.3436,1.21,2.6037,1.2235,1.3573,3.2119,3.489,1.9459,1.1581,2.7149,0.9305,1.2955,1.2825,3.2659,3.7565,0.3221,1.0902,0.5698999999999999,0.5297,3.2922
1964-11,-0.3007,-0.1509,0.8917,0.6823,0.5298,-0.967,0.1673999999999999,-0.1973,-0.6529,-1.767,1.6126,0.6028999999999999,0.1005999999999999,0.4017,-0.0585,0.6552999999999999,1.6438,-1.0152,-0.8372,-4.7187,1.0217,-0.3673,1.6422,-1.286,-4.6842
1964-12,-1.4726,-1.2379,-3.125,-2.6798,-1.7928,1.4489,-0.1486,1.1892,-2.4864,-0.9464,0.116,0.5879999999999999,-0.2675,-1.6849,-0.6795999999999999,1.4114,0.0102,-1.5027,-0.955,-1.3266,0.799,1.4209,-0.9509,-1.0688,-1.3383
1965-01,8.4566,6.3573,6.8733,6.6762,8.7568,7.8749,5.4662,5.9236,5.7124,6.1785,5.2074,6.2046,5.1133,5.9609,7.056,5.5263,4.2867,5.1409,5.1165,6.8218,4.7202,1.2522,2.8229,3.5354,3.6001
1965-02,1.8638,0.5099,2.5255,3.1923,3.6524,3.3795,4.2289,3.7383,3.4098,3.5904,3.899,4.4372,4.7925,3.2175,3.201,1.3902,3.4228,3.9336,3.2034,1.6802,0.1857999999999999,-0.0448,-0.126,-0.5376999999999998,-1.1935
1965-03,1.6576,2.3232,1.2665,2.5785,3.1914,2.0961,-1.9294,1.3979,1.8887,0.5794,-0.2907,-0.056,-0.3211,1.3299,0.6378,-0.7984999999999999,-0.3231999999999999,-0.2909999999999999,0.4349,1.8183,-1.3236,-1.58,-1.8043,-0.7165,0.3402999999999999
1965-04,4.0673,4.4129,4.789,4.444,4.5886,0.1559,5.0305,3.9249,4.7086,5.0312,2.805,3.1203,3.8598,3.7242,6.8019,2.6191,3.1943,4.6285,4.3921,2.1567,4.5863,1.8738,2.1667,2.2064,4.4499
1965-05,-0.4546,-2.5956,-1.2927,-0.7798,-1.2123,1.0537,-0.7391999999999999,-1.1564,0.0840999999999999,-2.1204,-0.5778999999999999,0.2504,-1.0293,-0.8670999999999999,-0.5873,-0.9651,0.033,-1.109,-0.3675999999999999,-3.3714,-0.7543999999999998,0.8302,-0.0849,-0.3610999999999999,-3.571
1965-06,-12.5886,-10.4413,-9.3609,-7.9296,-9.5699,-10.3567,-8.613099999999998,-8.9828,-8.389699999999998,-8.2995,-6.6323,-9.221,-8.5172,-8.530699999999998,-8.4334,-6.3568,-6.9768,-7.9386,-8.6779,-8.4349,-4.4306,-3.6674,-4.9365,-3.8056,-5.4788
1965-07,2.4078,3.4728,3.6533,2.2033,4.1972,3.7755,1.6587,2.9237,3.4788,4.507,1.526,4.6267,2.5895,4.36,4.6866,2.6035,3.1714,3.8986,2.6544,6.25,1.5235,-0.0020999999999999,1.9197,4.0881,4.8277
1965-08,2.5036,5.4354,5.1565,3.9579,4.0133,7.2991,4.236,4.9247,4.9206,3.943,8.1068,4.5658,7.7512,3.2518,6.5499,3.8079,4.1756,5.3024,2.9982,4.8752,3.2645,1.2951,3.4395,1.1267,2.1812
1965-09,3.4711,5.9272,1.2744,3.9987,3.3711,5.8317,3.7915,2.888,4.6113,2.6159,2.4531,3.1662,3.3162,5.205,4.5035,3.2993,4.1014,1.5628,2.9004,3.849,3.9289,2.3018,2.3766,3.5269,3.2283
1965-10,6.1584,8.953799999999998,6.0563,5.6597,9.063300000000002,4.0941,7.865599999999999,3.7585,5.8202,5.2135,4.4,4.247,5.5875,5.7329,5.0437,4.058,3.3683,2.8771,4.4819,8.0786,3.1389,0.214,3.0547,4.4226,5.2216
1965-11,4.1546,6.7399,2.709,7.8663,6.4658,1.4154,5.0932,4.3201,5.2165,4.0522,3.3546,3.113,5.6965,2.5193,3.0572,3.6904,2.6667,3.6479,1.046,5.4682,-0.317,-1.8293,1.25,-1.2898,-2.321
1965-12,7.2363,6.7426,2.1385,3.8599,5.0485,3.762,3.7745,3.2259,3.3894,7.352,2.6402,0.9087,3.9506,1.9292,5.3729,1.2725,1.2499,1.5534,4.3269,5.3091,1.0117,-0.2235,1.3304,2.7994,2.7168
1966-01,5.5888,6.5774,8.1231,9.8046,9.6396,6.4439,6.4342,4.723,5.1276,5.7735,4.4461,2.402,2.899,4.7855,4.9564,0.9004999999999999,1.8775,5.2213,4.2516,6.1452,-0.3730999999999999,-0.571,1.6999,3.0533,3.1425
1966-02,6.9168,5.8021,1.8119,4.6709,6.3804,5.4916,4.6383,1.6488,0.0124,3.1869,-0.3911,1.468,4.6324,1.8809,4.6062,1.2811,-0.7461999999999999,0.4431999999999999,0.6104,2.5331,-1.3336,-2.3107,-1.7111,-1.9866,-1.7276
1966-03,1.8008,-1.5119,-2.5017,-0.7032,-1.4687,0.1860999999999999,-2.0139,-2.1464,-3.7719,-2.0337,-1.6297,-4.7628,-2.4127,-3.4279,-3.7947,0.2576,-1.4313,-3.5289,-2.392,-3.3844,-1.4716,-3.4561,-1.0578,-2.1435,-5.0627
1966-04,10.9554,4.592,5.4276,6.6304,4.5804,2.3984,4.7767,4.0094,7.4753,8.793,3.6962,3.7713,3.524,4.4857,2.579,3.9267,2.7198,3.5747,4.8264,0.7506,2.1104,1.9995,1.1745,2.4066,1.7925
1966-05,-12.2067,-13.2138,-10.3359,-10.7227,-11.9299,-9.9576,-9.8088,-8.6524,-10.1298,-8.7554,-5.9453,-6.702,-8.2073,-10.1367,-9.8208,-5.0461,-5.1202,-7.0224,-8.8191,-10.2388,-4.1961,-3.9492,-4.8671,-5.5203,-5.4763
1966-06,-0.7871,-0.0992999999999999,1.304,1.4033,0.3527,1.6748,0.0856999999999999,-0.0700999999999999,-0.6895,0.2510999999999999,0.2261,-0.1731999999999999,2.5697,-0.5368,-0.4405,-0.7918,-0.3271999999999999,-0.1245,3.3373,1.0483,-2.0006,-1.4866,-0.6160999999999999,0.8536,-1.1969
1966-07,-2.1032,-1.7997,-2.3088,-0.0201999999999999,-0.9453,-3.1673,-1.846,-0.928,-1.7068,-1.4297,-0.9747,-2.0339,-0.8141,-0.6897999999999999,-1.3433,-0.661,-1.6477,-2.0213,-2.6307,-2.2452,-1.702,-1.4411,-0.7537,0.911,-1.3269
1966-08,-12.2104,-10.397,-9.6701,-10.849,-10.4568,-12.7777,-10.5328,-9.7589,-9.6476,-10.9356,-10.7381,-8.4801,-7.9961,-10.1106,-8.673899999999998,-9.8003,-7.537099999999999,-8.114599999999998,-7.3003,-9.2326,-7.2449,-8.7255,-5.6384,-6.223,-7.9877
1966-09,-1.9817,-2.062,-1.8683,-1.7764,-1.1657,-1.8287,1.203,-1.7186,-1.588,-2.1096,-2.2966,-4.4915,0.2582999999999999,-0.3267999999999999,-1.2485,-1.1204,0.0381999999999999,-0.7889,-3.2196,-0.6263999999999998,-1.2528,0.8891,0.4627999999999999,0.2686,-1.6183
1966-10,-7.8591,-4.8369,-4.2385,-1.4753,-1.4922,-5.3646,-0.6718,-0.7818,0.0676999999999999,-0.2629,-1.6118,1.106,3.5969,4.9868,1.7226,0.5499,4.782,4.1657,2.9452,1.748,3.1154,5.1755,9.1682,6.2771,6.5122
1966-11,8.1459,4.1886,4.5572,2.5215,3.5416,7.507799999999999,2.9799,7.276799999999999,1.6878,2.5243,9.2015,6.0432,1.6711,4.4247,-0.0369999999999999,8.5828,1.6945,0.7782999999999999,3.0085,0.7817,3.5384,2.1824,-2.4325,-1.4548,-1.0891
1966-12,3.8379,2.7889,2.1336,1.3139,0.2147999999999999,4.751,3.1411,1.4104,2.0928,0.7712,2.7632,3.1471,0.9474,3.12,0.2617999999999999,3.1387,2.4944,1.187,3.6508,1.8842,-0.8373,-0.0126999999999999,1.4666,-0.1389,-0.1215
1967-01,20.8249,19.2939,18.5972,21.4892,17.3462,16.9774,16.4842,17.138,17.6439,20.055,16.8191,14.2409,12.1173,13.2388,14.3651,9.9035,6.6748,9.8469,12.2909,13.7015,7.6997,7.1831,4.9614,7.857599999999999,13.7838
1967-02,6.8539,5.8677,5.5448,3.9323,5.8736,3.2421,3.0709,1.0597,3.4256,1.6576,2.1038,2.3084,1.698,0.7521999999999999,0.7706,2.8367,-0.3785,-0.4312,1.6176,0.1531,2.2356,0.8055999999999999,-0.7754999999999999,-0.8887,-1.3391
